Product Bundles,Confidence (Likelihood)
CONDIMENTS - SPICY BEE HONEY + PIZZA - UNMEAT LOVERS WHOLE,72%
ADD ONS - RICE + NON-COFFEE - ICED TEA,60%
CANNED - UNMEAT CORNED BEEF-STYLE 200G + CANNED - UNMEAT LUNCHEON MEAT-STYLE 175G,54%
ADD ONS - RICE + ALA CARTE - TOFU & MUSHROOM SISIG,45%
ADD ONS - MORIKAKE + PAMAHAW - TOFU NUGGETS SILOG,41%
ADD ONS - VEGAN EGG + ALA CARTE - SALT & PEPPER TOFU,35%
ADD ONS - MORIKAKE + COFFEE - AGAVE LATTE,34%
ALA CARTE - SALT & PEPPER TOFU + NON-COFFEE - CHOCOLATE,33%
ADD ONS - RICE + ALA CARTE - BBQ & MALUNGGAY DILIS,27%
ICE CREAM - BLUEBERRY CHEEZECAKE + ICE CREAM - CHOCO BROWNIE MADNESS,24%
ICE CREAM - CHOCO BROWNIE MADNESS + ICE CREAM - COFFEE CASHEW CRUMBLE,23%
ICE CREAM - CHOCO BROWNIE MADNESS + ICE CREAM - VANILLA CARAMEL PECAN,22%
ICE CREAM - CHOCO PEANUT BUTTER MACADAMIA + ICE CREAM - COFFEE CASHEW CRUMBLE,22%
ICE CREAM - MILKY MATCHA + ICE CREAM - UBE BLISS,22%
ICE CREAM - COFFEE CASHEW CRUMBLE + ICE CREAM - UBE BLISS,21%
PASTRY - CHOCOLATE CHIP COOKIE + PASTRY - TABLEA COOKIE,21%
ICE CREAM - CHOCO BROWNIE MADNESS + ICE CREAM - CHOCO PEANUT BUTTER MACADAMIA,21%
ICE CREAM - BLUEBERRY CHEEZECAKE + ICE CREAM - VANILLA CARAMEL PECAN,21%
ICE CREAM - BLUEBERRY CHEEZECAKE + ICE CREAM - COFFEE CASHEW CRUMBLE,20%
ALA CARTE - BBQ & VEGGIE ENSALADA + COFFEE - AGAVE LATTE,20%
ICE CREAM - BLUEBERRY CHEEZECAKE + ICE CREAM - UBE BLISS,20%
ICE CREAM - BLUEBERRY CHEEZECAKE + ICE CREAM - MILKY MATCHA,19%
ICE CREAM - CHOCO PEANUT BUTTER MACADAMIA + ICE CREAM - UBE BLISS,19%
SANDWICHES - BBQ PULLED LANGKA SANDWICH + SANDWICHES - CHICKPEA NORI SANDWICH,18%
ICE CREAM - CHOCO BROWNIE MADNESS + ICE CREAM - UBE BLISS,17%
ADD ONS - RICE + ALA CARTE - SPAM & TOFU SCRAMBLE,17%
ADD ONS - RICE + PASTRY - CHOCOLATE CHIP COOKIE,16%
ALA CARTE - SALT & PEPPER TOFU + COFFEE - AGAVE LATTE,16%
ADD ONS - RICE + PASTRY - TABLEA COOKIE,15%
ALA CARTE - SALT & PEPPER TOFU + COFFEE - CAFE LATTE,15%
ADD ONS - RICE + ALA CARTE - SALT & PEPPER TOFU,14%
ALA CARTE - BISTEK + ALA CARTE - SALT & PEPPER TOFU,14%
ALA CARTE - SPAM & TOFU SCRAMBLE + ALA CARTE - TOFU & MUSHROOM SISIG WITH VEGGIE SLAW,12%
SANDWICHES - BBQ PULLED LANGKA SANDWICH + SANDWICHES - SPAM & TOFU SANDWICH,11%
COFFEE - CAFE LATTE + SANDWICHES - SPAM & TOFU SANDWICH,11%
COFFEE - AGAVE LATTE + COFFEE - CAFE LATTE,10%
NON-COFFEE - MATCHA LATTE + SANDWICHES - SPAM & TOFU SANDWICH,9%
ALA CARTE - BBQ & MALUNGGAY DILIS + NON-COFFEE - MATCHA LATTE,9%
