Day,Hour,Quantity
Friday,7,1.0
Friday,8,7.9
Friday,9,3.2
Friday,10,4.4
Friday,11,6.0
Friday,12,6.1
Friday,13,6.0
Friday,14,7.8
Friday,15,4.6
Friday,16,5.0
Friday,17,5.6
Friday,18,6.0
Friday,19,6.1
Friday,20,6.1
Friday,21,5.9
Friday,22,5.9
Friday,23,3.0
Monday,7,5.5
Monday,8,2.5
Monday,9,6.2
Monday,10,3.3
Monday,11,5.9
Monday,12,4.9
Monday,13,5.1
Monday,14,3.7
Monday,15,5.8
Monday,16,4.4
Monday,17,5.7
Monday,18,5.6
Monday,19,5.4
Monday,20,5.7
Monday,21,6.6
Monday,22,10.5
Monday,23,3.0
Saturday,0,2.0
Saturday,6,7.0
Saturday,7,1.0
Saturday,8,2.5
Saturday,9,4.3
Saturday,10,5.7
Saturday,11,4.6
Saturday,12,5.5
Saturday,13,11.7
Saturday,14,4.9
Saturday,15,5.9
Saturday,16,6.1
Saturday,17,6.3
Saturday,18,6.4
Saturday,19,5.6
Saturday,20,5.7
Saturday,21,5.4
Saturday,22,6.0
Sunday,0,1.0
Sunday,7,6.0
Sunday,8,5.1
Sunday,9,3.8
Sunday,10,4.0
Sunday,11,5.7
Sunday,12,12.1
Sunday,13,5.0
Sunday,14,4.4
Sunday,15,4.9
Sunday,16,6.7
Sunday,17,4.7
Sunday,18,5.8
Sunday,19,6.5
Sunday,20,6.9
Sunday,21,5.3
Sunday,22,10.0
Thursday,7,2.4
Thursday,8,3.6
Thursday,9,5.4
Thursday,10,4.5
Thursday,11,4.9
Thursday,12,5.6
Thursday,13,5.2
Thursday,14,4.4
Thursday,15,4.1
Thursday,16,4.9
Thursday,17,5.8
Thursday,18,5.4
Thursday,19,5.9
Thursday,20,4.8
Thursday,21,4.9
Thursday,22,5.8
Tuesday,7,1.7
Tuesday,8,6.5
Tuesday,9,3.4
Tuesday,10,4.2
Tuesday,11,5.7
Tuesday,12,6.2
Tuesday,13,5.5
Tuesday,14,3.5
Tuesday,15,3.9
Tuesday,16,4.9
Tuesday,17,6.3
Tuesday,18,5.3
Tuesday,19,6.2
Tuesday,20,4.8
Tuesday,21,6.1
Tuesday,22,7.0
Tuesday,23,2.0
Wednesday,7,1.8
Wednesday,8,3.4
Wednesday,9,4.3
Wednesday,10,4.2
Wednesday,11,6.2
Wednesday,12,5.2
Wednesday,13,5.4
Wednesday,14,4.6
Wednesday,15,4.1
Wednesday,16,4.5
Wednesday,17,6.1
Wednesday,18,4.8
Wednesday,19,4.8
Wednesday,20,5.8
Wednesday,21,4.4
Wednesday,22,7.5
