Week_Start,Total_Quantity_Sold,Event
2023-04-03,55,Holiday - Black Saturday
2023-04-10,143,Normal Day
2023-04-17,183,Normal Day
2023-04-24,348,Normal Day
2023-05-01,174,Normal Day
2023-05-08,204,Class Suspension - High Temperature
2023-05-15,237,Normal Day
2023-05-22,197,Normal Day
2023-05-29,314,Normal Day
2023-06-05,248,Normal Day
2023-06-12,320,Normal Day
2023-06-19,280,Normal Day
2023-06-26,275,"Class Suspension - Sangyaw Festival, Class Suspension - Tacloban Day"
2023-07-03,304,Normal Day
2023-07-10,322,Normal Day
2023-07-17,395,Normal Day
2023-07-24,490,Normal Day
2023-07-31,255,Normal Day
2023-08-07,226,Normal Day
2023-08-14,194,Normal Day
2023-08-21,198,Holiday - Ninoy Aquino Day
2023-08-28,192,Normal Day
2023-09-04,304,Normal Day
2023-09-11,284,Normal Day
2023-09-18,339,Normal Day
2023-09-25,377,Normal Day
2023-10-02,237,Class Suspension - World Teachers' Day
2023-10-09,187,Normal Day
2023-10-16,204,Normal Day
2023-10-23,331,Normal Day
2023-10-30,256,"Class Suspension (starting 12:01 pm) - All Saints Day, Holiday - All Saints' Day, Holiday - All Souls' Day, Holiday - Baranggay and Sangguniang Kabataan Elections"
2023-11-06,294,Class Suspension - Yolanda Day
2023-11-13,234,Normal Day
2023-11-20,306,Class Suspension - Heavy Rainfall
2023-11-27,264,Normal Day
2023-12-04,373,Holiday - Feast of the Immaculate Conception of Mary
2023-12-11,291,Normal Day
2023-12-18,270,"Class Suspension, Class Suspension - 15th HUC Day"
2023-12-25,270,Holiday - Additional Special Non-Working Day
2024-01-01,206,Normal Day
2024-01-08,200,Normal Day
2024-01-15,210,Normal Day
2024-01-22,229,Normal Day
2024-01-29,260,Normal Day
2024-02-05,204,"Holiday - Additional Special Non-Working Day, Holiday - Chinese New Year"
2024-02-12,366,Normal Day
2024-02-19,324,Normal Day
2024-02-26,314,Normal Day
2024-03-04,330,Normal Day
2024-03-11,229,Normal Day
2024-03-18,225,Normal Day
2024-03-25,337,"Class Suspension (12:00 pm onwards), Holiday - Black Saturday, Holiday - Good Friday, Holiday - Maundy Thursday"
2024-04-01,214,Normal Day
2024-04-08,209,Holiday - Eid'l Fitr
2024-04-15,220,Normal Day
2024-04-22,136,Normal Day
2024-04-29,314,"Class Suspension (F2F) - Transport Strike, Class Suspension - High Temperature, Holiday - Labor Day"
2024-05-06,277,Normal Day
2024-05-13,318,Normal Day
2024-05-20,300,Normal Day
2024-05-27,337,Normal Day
2024-06-03,402,Normal Day
2024-06-10,321,Holiday - Independence Day
2024-06-17,269,Normal Day
2024-06-24,1093,Normal Day
2024-07-01,404,Class Suspension - Sangyaw Festival
2024-07-08,280,Normal Day
2024-07-15,266,Normal Day
2024-07-22,203,Normal Day
2024-07-29,251,Class Suspension - Bagong Pilipinas Serbisyo Fair
2024-08-05,258,Normal Day
2024-08-12,197,Normal Day
2024-08-19,234,Holiday - Ninoy Aquino Day
2024-08-26,186,Holiday - National Heroes Day
2024-09-02,253,Normal Day
2024-09-09,206,Normal Day
2024-09-16,156,Normal Day
2024-09-23,223,Normal Day
2024-09-30,817,Class Suspension - World Teachers' Day
2024-10-07,593,Normal Day
2024-10-14,254,Normal Day
2024-10-21,256,"Class Suspension - Heavy Rainfall, Class Suspension - Typhoon Kristine"
2024-10-28,279,"Class Suspension (starting 12:01 pm) - All Saints Day, Holiday - All Saints' Day, Holiday - All Souls' Day"
2024-11-04,332,Class Suspension - Yolanda Day
2024-11-11,267,Class Suspension (starting 12:01 pm) - Typhoon Pepito
2024-11-18,318,Normal Day
2024-11-25,378,Holiday - Bonifacio Day
2024-12-02,321,Holiday - Feast of the Immaculate Conception of Mary
2024-12-09,351,Normal Day
2024-12-16,233,"Class Suspension - Low Pressure Area, Class Suspension - Typhoon Querubin"
2024-12-23,259,Holiday - Christmas Eve
2024-12-30,213,"Holiday - Last Day of the Year, Holiday - Rizal Day"
2025-01-06,293,Normal Day
2025-01-13,282,Normal Day
2025-01-20,405,Normal Day
2025-01-27,334,Holiday - Chinese New Year
2025-02-03,348,Normal Day
2025-02-10,415,Class Suspension - Heavy Rainfall
2025-02-17,279,Class Suspension - Heavy Rainfall
2025-02-24,289,Normal Day
2025-03-03,309,Normal Day
2025-03-10,281,Normal Day
2025-03-17,166,Class Suspension - Heavy Rainfall
2025-03-24,225,Forecast
2025-03-31,244,Forecast
2025-04-07,270,Forecast
2025-04-14,280,Forecast
2025-04-21,280,Forecast
2025-04-28,294,Forecast
2025-05-05,329,Forecast
2025-05-12,359,Forecast
2025-05-19,360,Forecast
2025-05-26,344,Forecast
2025-06-02,357,Forecast
2025-06-09,426,Forecast
